 DF4_Death_Knight_Frost,Damage-per-second,damage-per-second%,Execute,Interval,Damage-per-Execution,Damage-per-Execution-time,Type,Count,Hit,Crit,Average,Crit%,uptime%,Unnamed: 14
auto_attack_mh,12504,0.031,226.9,1.54s,16517,10767,Direct,226.9,12327.0,24638.0,16517.0,0.505,0.164,
auto_attack_oh,6102,0.015,221.7,1.54s,8251,5379,Direct,221.7,6164.0,12321.0,8251.0,0.506,0.167,
Blood Draw,428,0.001,2.0,179.86s,63334,0,Direct,2,42035.0,84766.0,63337.0,0.498,0.0,
Breath of Sindragosa,0 (109916),0.0% (27.7%),2.5,144.05s,13060063,0,,,,,,,,
    Breath of Sindragosa (_damage),109916,0.277,269.4,1.09s,122435,0,Direct,269.4,77272.0,166746.0,122437.0,0.505,0.0,
Broodkeeper's Blaze,2293,0.006,5.6,45.66s,123155,0,Periodic,16,28458.0,56897.0,42870.0,0.507,0.0,0.107
Death and Decay,74,0,0.9,54.15s,25107,22370,Periodic,9.6,1464.0,3132.0,2313.0,0.509,0.0,0.0
Frost Fever,14365,0.036,77.8,3.82s,55363,0,Periodic,98.4,27641.0,59552.0,43790.0,0.506,0.0,0.984
Frost Strike,1994 (2990),0.5% (0.8%),7.3,6.73s,122923,109988,Direct,7.3 (14.6),51723.0,111110.0,81988.0,51.0% (50.9%),0.0,
    Frost Strike Off-Hand,996,0.003,7.3,6.72s,40943,0,Direct,7.3,25872.0,55487.0,40939.0,0.509,0.0,
Howling Blast,58501 (68131),14.7% (17.1%),77.8,3.82s,262301,251311,Direct,77.8 (155.7),141173.0,307147.0,225224.0,50.6% (50.6%),0.0,
    Avalanche,9630,0.024,77.8,3.82s,37085,0,Direct,77.8,23247.0,50644.0,37084.0,0.505,0.0,
Hungering Shadowflame,7456,0.019,15.9,18.17s,140575,0,Direct,15.9,93972.0,186519.0,140575.0,0.504,0.0,
Igira's Cruel Nightmare,0 (7582),0.0% (1.9%),7.9,34.86s,289737,0,,,,,,,,
    Flaying Torment,7582,0.019,7.9,34.86s,289737,0,Periodic,22.2,102546.0,0.0,102546.0,0,0.0,0.148
Obliterate,4052 (88141),1.0% (22.1%),32.7,8.81s,807300,190547,Direct,32.7 (265.6),22837.0,51121.0,37087.0,50.4% (87.8%),0.0,
    Obliterate Off-Hand,2049,0.005,32.7,8.81s,18754,0,Direct,32.7,11414.0,25916.0,18754.0,0.506,0.0,
    Obliterate (_km),54698,0.137,100.1,2.98s,163794,0,Direct,100.1,0.0,163795.0,163795.0,1,0.0,
    Obliterate Off-Hand (_km),27342,0.069,100.1,2.98s,81878,0,Direct,100.1,0.0,81879.0,81879.0,1,0.0,
Pillar of Frost,0 (6078),0.0% (1.5%),9.6,32.67s,190017,0,,,,,,,,
    Frostwyrm's Fury (_t30),6078,0.015,9.6,32.67s,190017,0,Direct,9.6,111504.0,266568.0,190023.0,0.506,0.0,
Raise Dead,0 (5966),0.0% (1.5%),3.0,120.68s,600905,0,,,,,,,,
    auto_attack,7379  / 4018,0.01,110.2,2.51s,10927,8153,Direct,110.2,7271.0,14535.0,10927.0,0.503,0.0,
    Claw,3573  / 1945,0.005,59.7,4.69s,9760,9760,Direct,59.7,6496.0,12996.0,9760.0,0.502,0.0,
    Gnaw,6  / 3,0,2.9,120.69s,330,330,Direct,2.9,219.0,438.0,330.0,0.507,0.0,
Remorseless Winter,0 (43915),0.0% (11.0%),15.2,20.39s,867718,814552,,,,,,,,
    Remorseless Winter (_damage),43915,0.11,281.7,1.06s,46733,0,Direct,281.7,29482.0,63604.0,46733.0,0.506,0.0,
Soul Reaper,3604 (20316),0.9% (5.1%),15.6,6.89s,391154,357299,Direct,15.6 (31.2),43765.0,94337.0,69374.0,50.6% (50.7%),0.0,
    Soul Reaper (_execute),16712,0.042,15.6,6.89s,321966,0,Direct,15.6,203112.0,436913.0,321970.0,0.508,0.0,
Strike Twice (_oh),1459,0.004,24.0,12.21s,18238,0,Direct,24,12114.0,24216.0,18239.0,0.506,0.0,
