DF4_Death_Knight_Blood,Damage-per-second,damage-per-second%,Execute,Interval,Damage-per-Execution,Damage-per-Execution-time,Type,Count,Hit,Crit,Average,Crit%,uptime%
auto_attack_mh,21921,0.088,193.8,1.85s,33909.0,18553.0,Direct,193.8,24852.0,49699.0,33909.0,0.364,
Vicious Brand,20798,0.084,27.2,10.79s,231615.0,0.0,Periodic,133.7 (133.7),34475.0,68943.0,47036.0,36.4% (36.4%),44.6% (44.6%)
    Radiating Brand,0,0,60.0,2.10s,,,,,,,,,
Soul Reaper,2431 (13702),1.0% (5.5%),15.6,6.87s,262983.0,270963.0,Direct,15.6 (31.3),34199.0,68415.0,46653.0,36.4% (36.4%),
    Soul Reaper (_execute),11271,0.045,15.6,6.87s,216368.0,0.0,Direct,15.6,158643.0,316952.0,216368.0,0.365,
Smolderon's Delusions of Grandeur,0 (7604),0.0% (3.1%),8.9,31.05s,257212.0,0.0,,,,,,,
    Blazing Rage,7604,0.031,79.7,3.22s,28656.0,0.0,Direct,79.7,21000.0,41996.0,28656.0,0.365,
Shattering Bone,7130,0.029,31.5,9.38s,68080.0,0.0,Direct,31.5,49581.0,100125.0,68079.0,0.366,
Roiling Shadowflame,5698,0.023,44.6,6.65s,38315.0,0.0,Direct,44.6,28078.0,56189.0,38316.0,0.364,
Raise Dead,0 (8269),0.0% (3.3%),3.0,120.27s,832700.0,0.0,,,,,,,
    auto_attack,10270  / 5599,0.022,128.2,2.17s,13101.0,11323.0,Direct,128.2,9599.0,19195.0,13101.0,0.365,
    Claw,4890  / 2666,0.011,68.0,4.13s,11756.0,11756.0,Direct,68,8616.0,17231.0,11756.0,0.364,
    Gnaw,7  / 4,0,2.9,121.42s,404.0,404.0,Direct,2.9,296.0,593.0,404.0,0.364,
Rage of Fyr'alath (_channel),0 (16204),0.0% (6.4%),3.0,120.26s,1602600.0,840173.0,,,,,,,
    Rage of Fyr'alath,9740,0.039,17.9,15.15s,160903.0,0.0,Direct,17.9,117422.0,234896.0,160900.0,0.37,
    Explosive Rage,6464,0.026,3.0,120.39s,639540.0,0.0,Direct,3,469364.0,939108.0,643035.0,0.37,
Marrowrend,1861,0.007,10.0,30.36s,56043.0,60945.0,Direct,10,41050.0,82081.0,56045.0,0.365,
Mark of Fyr'alath,5930,0.024,467.9,0.69s,3801.0,0.0,Periodic,157.7,8263.0,16527.0,11278.0,0.365,0.971
Heart Strike,20666,0.083,93.4,3.13s,66349.0,71150.0,Direct,93.4,48598.0,97243.0,66349.0,0.365,
Death's Caress,189,0.001,3.1,101.24s,18209.0,18988.0,Direct,3.1,13373.0,26611.0,18214.0,0.366,
Death and Decay,6526,0.026,26.6,11.37s,73594.0,75986.0,Periodic,340.3,4216.0,8432.0,5754.0,0.365,0
Death Strike,32630,0.131,86.3,3.43s,113334.0,121360.0,Direct,86.3,83062.0,166040.0,113333.0,0.365,
Dancing Rune Weapon,0 (21103),0.0% (8.5%),5.0,66.18s,1270462.0,1389759.0,,,,,,,
    Blood Plague,17679  / 4561,0.018,36.2,15.71s,37758.0,0.0,Periodic,158,6342.0,12683.0,8650.0,0.364,1.257
    Blood Boil,14561  / 3763,0.015,36.2,15.71s,31148.0,0.0,Direct,36.2,22809.0,45628.0,31148.0,0.365,
    Death's Caress,0  / 0,0,0.0,0.00s,8080.0,0.0,Direct,0,5288.0,10251.0,8080.0,0.562,
    Death Strike,21663  / 5601,0.022,52.6,10.76s,31885.0,0.0,Direct,52.6,23360.0,46735.0,31885.0,0.365,
    Heart Strike,10183  / 2630,0.011,39.3,14.27s,20031.0,0.0,Direct,39.3,14667.0,29337.0,20031.0,0.366,
    Marrowrend,1621  / 420,0.002,7.4,78.33s,16923.0,0.0,Direct,7.4,12398.0,24810.0,16923.0,0.365,
    Soul Reaper,1515  / 393,0.002,7.0,21.02s,16907.0,0.0,Direct,7,12399.0,24795.0,16907.0,0.364,
    Soul Reaper (_execute),4955  / 1286,0.005,5.0,29.13s,77382.0,0.0,Direct,5,56809.0,113661.0,77380.0,0.362,
    main_hand,9474  / 2449,0.01,68.7,8.17s,10686.0,5256.0,Direct,68.7,7824.0,15650.0,10686.0,0.366,
Broodkeeper's Blaze,7120,0.029,18.1,16.01s,118296.0,0.0,Periodic,47.9,32681.0,65364.0,44612.0,0.365,0.319
Blood Plague,10697,0.043,65.7,4.56s,48834.0,0.0,Periodic,120.5,19527.0,39037.0,26638.0,0.364,0.988
Blood Draw,616,0.002,1.5,187.97s,121946.0,0.0,Direct,1.5,89756.0,179138.0,121937.0,0.36,
Blood Boil,15030,0.06,62.6,4.71s,71936.0,76913.0,Direct,62.6,52743.0,105488.0,71937.0,0.364,
Annihilating Flame,20792,0.083,127.8,2.19s,48768.0,0.0,Direct,127.8,35720.0,71460.0,48768.0,0.365,
pet - bloodworm,,,,,,,,,,,,,
main_hand,5993,0.019,454.1,0.64s,3196.0,3682.0,Direct,454.1,2342.0,4684.0,3195.0,0.364,
