DF4_Death_Knight_Frost_2h,Damage-per-second,damage-per-second%,Execute,Interval,Damage-per-Execution,Damage-per-Execution-time,Type,Count,Hit,Crit,Average,Crit%,uptime%
auto_attack_mh,15764,0.039,175.0,2.05s,26991,13409,Direct,175,18802.0,38279.0,26990.0,0.42,
Blood Draw,505,0.001,2.0,179.86s,74705,0,Direct,2,49444.0,110120.0,74698.0,0.416,
Broodkeeper's Blaze,6122,0.015,16.8,17.26s,109583,0,Periodic,45,28395.0,57921.0,40811.0,0.421,0.3
Frost Fever,14885,0.037,47.3,6.32s,94506,0,Periodic,98.4,29948.0,66658.0,45370.0,0.42,0.984
Frost Strike,47475,0.118,86.7,3.42s,164194,162464,Direct,86.7,108250.0,241134.0,164195.0,0.421,
Howling Blast,30197 (36425),7.5% (9.0%),47.3,6.32s,230992,232857,Direct,47.3 (93.3),126118.0,282427.0,191502.0,41.8% (41.9%),
    Avalanche,6228,0.015,46.1,6.35s,40519,0,Direct,46.1,26681.0,59694.0,40519.0,0.419,
Igira's Cruel Nightmare,0 (7955),0.0% (2.0%),8.3,33.41s,289132,0,,,,,,,
    Flaying Torment,7955,0.02,8.3,33.41s,289132,0,Periodic,23.3,102377.0,0.0,102377.0,0,0.155
Mark of Fyr'alath,5039,0.013,454.1,0.70s,3327,0,Periodic,146.4,7178.0,14643.0,10318.0,0.421,0.969
Obliterate,2596 (183259),0.6% (45.5%),10.5,23.94s,5243925,427717,Direct,10.5 (129.8),50999.0,106325.0,74339.0,42.2% (95.3%),
    Obliterate (_km),180663,0.448,119.3,2.49s,453621,0,Direct,119.3,70443.0,453623.0,453622.0,1,
Pillar of Frost,0 (8268),0.0% (2.1%),10.6,29.45s,234373,0,,,,,,,
    Frostwyrm's Fury (_t30),6312,0.016,10.6,29.45s,178927,0,Direct,10.6,110527.0,271007.0,178931.0,0.426,
    Frostwhelp's Aid,1956,0.005,10.6,29.45s,55446,0,Direct,10.6,38457.0,78283.0,55449.0,0.427,
Rage of Fyr'alath (_channel),0 (13678),0.0% (3.4%),2.8,123.83s,1460553,741819,,,,,,,
    Rage of Fyr'alath,8214,0.02,16.8,14.23s,146278,0,Direct,16.8,102232.0,208582.0,146279.0,0.414,
    Explosive Rage,5464,0.014,2.8,124.10s,583503,0,Direct,2.8,408799.0,834148.0,584598.0,0.413,
Raise Dead,0 (6902),0.0% (1.7%),3.0,121.10s,698519,0,,,,,,,
    auto_attack,8592  / 4649,0.012,118.8,2.32s,11731,9480,Direct,118.8,8079.0,16771.0,11731.0,0.42,
    Claw,4158  / 2249,0.006,64.1,4.35s,10519,10519,Direct,64.1,7236.0,15030.0,10519.0,0.421,
    Gnaw,6  / 3,0,2.9,121.12s,350,350,Direct,2.9,240.0,501.0,350.0,0.423,
Remorseless Winter,0 (40189),0.0% (10.0%),15.2,20.51s,795382,784515,,,,,,,
    Remorseless Winter (_damage),40189,0.1,259.4,1.16s,46463,0,Direct,259.4,30644.0,68227.0,46462.0,0.421,
Soul Reaper,2886 (16433),0.7% (4.1%),12.5,8.49s,394478,374991,Direct,12.5 (25.0),47068.0,99746.0,69263.0,42.1% (42.4%),
    Soul Reaper (_execute),13547,0.034,12.5,8.50s,325241,0,Direct,12.5,217333.0,470694.0,325243.0,0.426,
