DF4_Death_Knight_Unholy,Damage-per-second,damage-per-second%,Execute,Interval,Damage-per-Execution,Damage-per-Execution-time,Type,Count,Hit,Crit,Average,Crit%,uptime%
Apocalypse,1144 (82818),0.3% (20.8%),6.9,45.74s,3616280.0,3665399.0,Direct,6.9 (880.1),39186.0,78260.0,50043.0,27.8% (27.7%),
    main_hand,62043  / 27525,0.069,332.1,3.35s,24819.0,20698.0,Direct,332.1,19428.0,38864.0,24818.0,0.277,
    Claw,13984  / 6204,0.016,227.6,4.94s,8167.0,8167.0,Direct,227.6,6393.0,12785.0,8167.0,0.278,
    Amplify Damage,0  / 0,0,43.5,13.59s,,,,,,,,,
    Frostbolt,13045  / 8673,0.022,55.9,10.50s,46516.0,36599.0,Direct,55.9,36408.0,72830.0,46533.0,0.278,
    Shadow Bolt,59064  / 39273,0.099,257.8,2.22s,45613.0,37124.0,Direct,257.7,35733.0,71464.0,45632.0,0.277,
Army of the Dead,0 (42806),0.0% (10.6%),2.1,169.28s,6149050.0,6391978.0,,,,,,,
    Amplify Damage,0  / 0,0,10.1,27.43s,,,,,,,,,
    Frostbolt,6399  / 2057,0.005,13.3,18.68s,45817.0,40260.0,Direct,13.3,35933.0,71529.0,45819.0,0.278,
    Shadow Bolt,35150  / 11302,0.028,71.8,3.25s,46640.0,43014.0,Direct,71.8,36494.0,72883.0,46643.0,0.279,
    main_hand,104573  / 24791,0.062,426.9,0.50s,17194.0,17395.0,Direct,426.9,13463.0,26896.0,17193.0,0.278,
    Claw,19645  / 4657,0.012,249.4,0.96s,5528.0,5528.0,Direct,249.4,4327.0,8641.0,5528.0,0.278,
auto_attack_mh,12797,0.032,179.3,2.01s,21404.0,10894.0,Direct,179.3,16758.0,33522.0,21404.0,0.277,
Blood Draw,361,0.001,2.0,179.95s,53472.0,0.0,Direct,2,41966.0,82869.0,53472.0,0.281,
Broodkeeper's Blaze,5973,0.015,17.2,16.83s,103864.0,0.0,Periodic,46.1,30339.0,60672.0,38799.0,0.279,0.308
Clawing Shadows,52045,0.131,92.2,3.15s,169273.0,172995.0,Direct,92.2,132520.0,265297.0,169273.0,0.277,
Dark Transformation,0 (1009),0.0% (0.3%),7.0,45.55s,43372.0,41829.0,,,,,,,
    Dark Transformation (_damage),1009,0.003,0.0,0.00s,0.0,0.0,Direct,7,33926.0,67773.0,43373.0,0.279,
Death Coil,33026,0.083,112.8,2.62s,87688.0,88464.0,Direct,112.8,68718.0,137374.0,87730.0,0.277,
Defile,4594,0.012,15.7,19.37s,87769.0,87975.0,Periodic,169,6374.0,12743.0,8145.0,0.278,0.0
Festering Strike,8053,0.02,28.5,10.47s,84694.0,85324.0,Direct,28.5,66295.0,132368.0,84694.0,0.278,
Festering Wound,15233,0.038,119.6,2.95s,38197.0,0.0,Direct,119.6,29906.0,59863.0,38197.0,0.277,
Igira's Cruel Nightmare,0 (8752),0.0% (2.2%),8.5,32.37s,308280.0,0.0,,,,,,,
    Flaying Torment,8752,0.022,8.5,32.37s,308280.0,0.0,Periodic,24,109403.0,0.0,109403.0,0,0.16
Mark of Fyr'alath,4923,0.012,494.6,0.87s,2985.0,0.0,Periodic,150.7,7672.0,15345.0,9793.0,0.276,0.972
Mirror of Fractured Tomorrows,0 (6237),0.0% (1.6%),2.0,182.78s,922940.0,0.0,,,,,,,
    Sand Cleave,16465  / 2226,0.006,14.0,15.44s,47042.0,0.0,Direct,14,36818.0,73687.0,47044.0,0.277,
    Auto Attack,29682  / 4012,0.01,28.0,7.49s,42403.0,28269.0,Direct,28,33168.0,66430.0,42404.0,0.278,
Rage of Fyr'alath (_channel),0 (13956),0.0% (3.5%),3.0,120.27s,1391971.0,710814.0,,,,,,,
    Rage of Fyr'alath,8403,0.021,17.8,14.23s,139986.0,0.0,Direct,17.8,109243.0,218621.0,139986.0,0.281,
    Explosive Rage,5553,0.014,3.0,120.47s,553985.0,0.0,Direct,3,436792.0,874363.0,557245.0,0.275,
Raise Dead,0 (51122),0.0% (12.9%),1.0,0.00s,15301378.0,0.0,,,,,,,
    auto_attack,35863  / 35863,0.09,231.6,1.29s,46355.0,35860.0,Direct,231.6,36291.0,72625.0,46355.0,0.277,
    Sweeping Claws,12880  / 12880,0.032,80.9,3.60s,47643.0,47471.0,Direct,80.9,37278.0,74557.0,47643.0,0.278,
    Claw,2372  / 2372,0.006,44.5,6.80s,16043.0,15986.0,Direct,44.5,12546.0,25072.0,16043.0,0.279,
    Gnaw,7  / 7,0,3.7,90.13s,533.0,531.0,Direct,3.7,416.0,830.0,533.0,0.283,
Soul Reaper,3901 (21904),1.0% (5.5%),16.1,6.67s,408032.0,399444.0,Direct,16.1 (32.2),56801.0,113495.0,72624.0,27.9% (27.8%),
