DF4_Demon_Hunter_Vengeance,Damage-per-second,damage-per-second%,Execute,Interval,Damage-per-Execution,Damage-per-Execution-time,Type,Count,Hit,Crit,Average,Crit%,uptime%,Unnamed: 14
auto_attack_mh,11044,0.041,184.4,1.89s,17962.0,10332.0,Direct,184.4,13879.0,27729.0,17962.0,0.458,0.163,
auto_attack_oh,5397,0.02,180.2,1.93s,8979.0,5073.0,Direct,180.2,6936.0,13863.0,8979.0,0.459,0.164,
Broodkeeper's Blaze,6940,0.026,16.3,17.71s,127867.0,0.0,Periodic,43.8,32611.0,65214.0,47561.0,0.459,0.0,0.292
Echoed Flare,19171 (20332),7.2% (7.7%),14.8,19.39s,414533.0,0.0,Direct,14.8 (20.2),268102.0,536301.0,391058.0,45.8% (45.9%),0.0,
    Anvil Strike,1161,0.004,5.5,60.28s,63404.0,0.0,Direct,5.5,43431.0,86835.0,63405.0,0.46,0.0,
Fel Devastation,15248 (20277),5.7% (7.6%),10.7,29.36s,569944.0,259640.0,Periodic,161.8 (268.2),19355.0,38712.0,28214.0,45.8% (67.3%),0.0,7.1% (11.9%)
    Eye Beam (collective_anguish),5030,0.019,0.0,0.00s,0.0,0.0,Periodic,106.3,0.0,14178.0,14178.0,1,0.0,0.048
Felblade,6139,0.023,29.7,10.22s,61899.0,122908.0,Direct,29.7,42527.0,84852.0,61899.0,0.458,0.0,
Fiery Brand,14586,0.055,8.1,38.72s,537743.0,530552.0,Direct,8.1,101093.0,202005.0,147066.0,0.456,0.0,
,,,,,,,Periodic,182.3,11933.0,23851.0,17388.0,0.458,0.0,0.6
Fracture,11032,0.041,46.2,6.40s,71635.0,69234.0,Direct,92.3,24565.0,49114.0,35826.0,0.459,0.0,
Immolation Aura,11171 (12007),4.2% (4.5%),27.3,10.85s,131615.0,127528.0,Direct,27.3 (76.3),18319.0,36575.0,27782.0,51.8% (48.0%),0.0,
,,,,,,,Periodic,250.9 (76.3),6803.0,13585.0,10314.0,51.8% (51.8%),0.0,0.0% (0.0%)
    Infernal Armor,836,0.003,49.0,6.03s,5107.0,0.0,Direct,49,3505.0,7003.0,5107.0,0.458,0.0,
Infernal Strike,5085,0.019,39.0,7.98s,39084.0,0.0,Direct,38.9,26904.0,53811.0,39209.0,0.457,0.0,
Demon Spikes (retaliation),565,0.002,22.8,12.69s,7424.0,0.0,Direct,22.8,5086.0,10169.0,7424.0,0.46,0.0,
Roiling Shadowflame,11022,0.041,40.5,7.31s,81683.0,0.0,Direct,40.5,55974.0,111957.0,81683.0,0.459,0.0,
Sigil of Flame,26485 (38846),9.9% (14.6%),15.4,20.25s,757837.0,782757.0,Direct,15.3 (56.3),70144.0,140213.0,102365.0,46.0% (45.9%),0.0,
,,,,,,,Periodic,136.7 (56.3),31957.0,63823.0,46571.0,45.9% (45.9%),0.0,88.6% (88.6%)
    Sigil of Flame (_t31),12360,0.046,41.0,7.15s,90393.0,0.0,Direct,41,61997.0,123939.0,90391.0,0.458,0.0,
Smolderon's Delusions of Grandeur,0 (7076),0.0% (2.7%),8.0,33.92s,266694.0,0.0,,,,,,,,
    Blazing Rage,7076,0.027,69.5,3.57s,30516.0,0.0,Direct,69.5,20929.0,41848.0,30517.0,0.458,0.0,
Soul Cleave,54234,0.204,148.3,1.99s,109645.0,106383.0,Direct,148.3,75174.0,150306.0,109646.0,0.459,0.0,
Spirit Bomb,1714,0.006,2.4,76.24s,211747.0,208405.0,Direct,2.4,146121.0,290745.0,212282.0,0.458,0.0,
Stormslash (_oh),1629,0.006,8.0,33.62s,60756.0,0.0,Direct,8,41634.0,83263.0,60753.0,0.459,0.0,
The Hunt,7537,0.028,3.7,91.20s,613043.0,608160.0,Direct,3.7,190830.0,381360.0,278238.0,0.459,0.0,
,,,,,,,Periodic,19.2,43924.0,87822.0,64106.0,0.46,0.0,0.073
Thorn Spirit,8015 (11850),3.0% (4.5%),7.9,34.32s,449825.0,0.0,Periodic,33.4 (76.8),49438.0,98866.0,72120.0,45.9% (45.9%),0.0,33.4% (33.4%)
    Thorn Burst,3835,0.014,43.5,5.80s,26472.0,0.0,Direct,43.5,18152.0,36299.0,26472.0,0.458,0.0,
Throw Glaive,0,0,0.0,0.00s,10603.0,0.0,Direct,0,6362.0,12724.0,10603.0,0.667,0.0,
Vicious Brand,18848,0.071,24.4,11.94s,233952.0,0.0,Periodic,122.8 (122.8),31828.0,63917.0,46492.0,45.7% (45.7%),0.0,40.9% (40.9%)
    Radiating Brand,0,0,47.2,2.21s,,,,,,,,,,
