DF4_Druid_Balance,Damage-per-second,damage-per-second%,Execute,Interval,Damage-per-Execution,Damage-per-Execution-time,Type,Count,Hit,Crit,Average,Crit%,uptime%
Astral Smolder,32397,0.078,60.4,4.92s,160653.0,0.0,Periodic,117.1,82871.0,0.0,82871.0,0,0.781
Broodkeeper's Blaze,6322,0.015,18.2,15.90s,104420.0,0.0,Periodic,49.6,30102.0,61411.0,38206.0,0.259,0.331
Denizen of the Dream,0 (15145),0.0% (3.7%),9.1,30.17s,499647.0,0.0,,,,,,,
    Fey Missile,46042  / 15145,0.037,167.7,1.57s,27088.0,22154.0,Direct,166.6,21290.0,44296.0,27255.0,0.259,
Hungering Shadowflame,7637,0.019,18.2,15.90s,125897.0,0.0,Direct,18.2,99182.0,202978.0,125906.0,0.257,
Moonfire,20009,0.048,14.3,21.64s,418898.0,455015.0,Direct,14.3,14515.0,29971.0,19849.0,0.345,
,,,,,,,Periodic,327.8,12700.0,26545.0,17423.0,0.341,0.995
New Moon (Talent),0 (28008),0.0% (6.8%),16.6,18.29s,507083.0,446520.0,,,,,,,
    Full Moon,10574,0.026,5.1,62.53s,620265.0,352527.0,Direct,5.1,438940.0,900397.0,624350.0,0.402,
    New Moon,7389,0.018,5.9,54.23s,376956.0,500230.0,Direct,5.8,254469.0,528834.0,379427.0,0.455,
    Half Moon,10045,0.024,5.6,58.86s,540125.0,460750.0,Direct,5.5,365754.0,749307.0,543826.0,0.464,
Shadow Spike,4219 (9081),1.0% (2.2%),8.7,33.15s,313279.0,0.0,Direct,8.7 (59.5),114856.0,234318.0,145794.0,25.9% (25.9%),
    Ravenous Shadowflame,4862,0.012,8.7,33.15s,168081.0,0.0,Periodic,50.9,28683.0,0.0,28683.0,0,0.339
Shooting Stars,0 (32871),0.0% (8.0%),0.0,0.00s,0.0,0.0,,,,,,,
    Shooting Stars (Moonfire),12290,0.03,103.3,2.89s,35653.0,0.0,Periodic,103.1,24258.0,50963.0,35747.0,0.43,0.0
    Shooting Stars (Sunfire),12296,0.03,103.3,2.89s,35665.0,0.0,Periodic,103.1,24238.0,50926.0,35759.0,0.432,0.0
    Orbit Breaker,8285,0.02,6.9,44.19s,360404.0,0.0,Direct,6.9,244399.0,514836.0,361467.0,0.433,
Starfire,5150,0.013,23.1,11.14s,67193.0,59417.0,Direct,24.1,46179.0,93474.0,64405.0,0.385,
Starsurge,138149 (181951),33.4% (44.0%),131.1,2.28s,415801.0,443245.0,Direct,130.8 (173.9),212579.0,460017.0,316405.0,42.0% (42.5%),
    Goldrinn's Fang,43801,0.106,43.3,6.87s,303288.0,0.0,Direct,43,206086.0,429033.0,304795.0,0.443,
Sunfire,19546,0.047,17.3,18.08s,337811.0,364442.0,Direct,17.3,13859.0,28548.0,18989.0,0.349,
,,,,,,,Periodic,328.8,12156.0,24972.0,16822.0,0.364,0.998
Tindral's Fowl Fantasia,0 (8063),0.0% (2.0%),9.0,30.49s,267597.0,0.0,,,,,,,
    Denizen of the Flame,3945,0.01,18.0,14.56s,65587.0,0.0,Direct,18,51685.0,105454.0,65589.0,0.259,
    Denizen of the Flame (Final),4118,0.01,9.0,30.46s,137640.0,0.0,Direct,9,108608.0,221578.0,137640.0,0.257,
Wrath,47265,0.114,111.8,2.68s,126662.0,139530.0,Direct,111.4,83308.0,178711.0,127073.0,0.459,
