DF4_Druid_Feral,Damage-per-second,damage-per-second%,Execute,Interval,Damage-per-Execution,Damage-per-Execution-time,Type,Count,Hit,Crit,Average,Crit%,uptime%
Adaptive Swarm,6814,0.017,10.6,28.95s,192295.0,293238.0,Periodic,143.1,9435.0,18868.0,14281.0,0.514,0.699
Broodkeeper's Blaze,5106,0.013,11.7,24.38s,130844.0,0.0,Periodic,33.1,30637.0,61264.0,46369.0,0.514,0.22
Brutal Slash,11897,0.03,47.9,6.17s,74524.0,74254.0,Direct,47.9,49280.0,98552.0,74525.0,0.512,
Burning Frenzy,17011,0.042,521.9,0.55s,9770.0,0.0,Periodic,97.2,52455.0,0.0,52455.0,0,0.648
cat_melee,15276,0.038,433.9,0.83s,10557.0,13768.0,Direct,433.9,6977.0,13949.0,10557.0,0.514,
Convoke the Spirits,0 (36100),0.0% (8.9%),2.9,124.51s,3709524.0,888310.0,,,,,,,
    Wrath,818,0.002,6.4,40.42s,38407.0,0.0,Direct,6.4,25307.0,50652.0,38452.0,0.519,
    Rake,427,0.001,0.3,124.23s,466847.0,0.0,Direct,0.3,62061.0,124419.0,93888.0,0.51,
,,,,,,,Periodic,0.8,85699.0,170348.0,129457.0,0.517,0.006
    Feral Frenzy,3328,0.008,0.6,0.00s,1699761.0,0.0,Direct,2.9,12621.0,25246.0,19122.0,0.515,
,,,,,,,Periodic,3.6,170503.0,340309.0,257438.0,0.512,0.018
    Ferocious Bite,21032,0.052,10.7,24.69s,588408.0,0.0,Direct,10.7,389076.0,778480.0,588431.0,0.512,
    Thrash,1031,0.003,2.7,70.28s,113981.0,0.0,Direct,2.7,24664.0,49334.0,37288.0,0.512,
,,,,,,,Periodic,11.7,11735.0,23505.0,17755.0,0.512,0.08
    Shred,7501,0.019,14.6,17.47s,153455.0,0.0,Direct,14.6,81237.0,197722.0,153459.0,0.62,
    Lunar Inspiration,1963,0.005,2.3,134.58s,250545.0,0.0,Direct,2.3,14669.0,29331.0,22295.0,0.52,
,,,,,,,Periodic,27.5,12870.0,25715.0,19466.0,0.514,0.12
Elder Flame,0 (8512),0.0% (2.1%),0.0,0.00s,0.0,0.0,,,,,,,
"    Djaruun, Pillar of the Elder Flame (Wave)",8238,0.021,24.5,9.67s,100958.0,0.0,Direct,24.5,66747.0,133511.0,100958.0,0.512,
"    Djaruun, Pillar of the Elder Flame (Siphon)",274,0.001,2.5,150.64s,33695.0,0.0,Direct,2.5,22177.0,44371.0,33693.0,0.519,
Feral Frenzy,29391,0.073,10.0,31.10s,883499.0,880331.0,Direct,49.8,8501.0,16989.0,12848.0,0.512,
,,,,,,,Periodic,51.1,105651.0,211088.0,159810.0,0.514,0.273
Ferocious Bite,100959 (117991),25.1% (29.3%),60.1,4.93s,588211.0,478147.0,Direct,60.1 (73.7),333048.0,663933.0,503264.0,51.4% (51.4%),
    Apex Predator's Craving,17032,0.042,13.6,20.32s,376305.0,0.0,Direct,13.6,249127.0,498115.0,376297.0,0.511,
Frenzied Assault,28834,0.071,56.9,4.75s,151314.0,0.0,Periodic,40.4,213299.0,0.0,213299.0,0,0.269
Igira's Cruel Nightmare,0 (7518),0.0% (1.9%),7.2,36.86s,313598.0,0.0,,,,,,,
    Flaying Torment,7518,0.019,7.2,36.86s,313598.0,0.0,Periodic,20.4,110415.0,0.0,110415.0,0,0.136
Manic Grieftorch,18554,0.046,24.3,9.20s,229764.0,0.0,Direct,24.3,151701.0,303366.0,229764.0,0.515,
Rake,40300,0.1,22.9,13.39s,527782.0,525889.0,Direct,22.9,33926.0,67604.0,51293.0,0.516,
,,,,,,,Periodic,128.9,55820.0,111604.0,84493.0,0.514,0.976
Rip,40567,0.101,14.1,21.69s,860784.0,857701.0,Periodic,192.5,41761.0,83454.0,63164.0,0.513,0.978
Shred,11995,0.03,53.7,5.60s,66954.0,66713.0,Direct,53.7,34070.0,87258.0,66955.0,0.618,
Thrash,6420,0.016,18.8,15.30s,102845.0,102474.0,Direct,18.8,14321.0,28651.0,21706.0,0.515,
,,,,,,,Periodic,109.3,9185.0,18365.0,13914.0,0.515,0.844
