DF4_Druid_Guardian,Damage-per-second,damage-per-second%,Execute,Interval,Damage-per-Execution,Damage-per-Execution-time,Type,Count,Hit,Crit,Average,Crit%,uptime%
Barkskin (+brambles),1327,0.005,10.0,31.50s,39717.0,0.0,Direct,146.7,2036.0,4092.0,2711.0,0.328,
bear_melee,19397,0.073,189.0,1.90s,30772.0,18987.0,Direct,189,23094.0,46428.0,30772.0,0.329,
Brambles,5257,0.02,206.1,1.44s,7655.0,0.0,Direct,206.1,5748.0,11550.0,7655.0,0.329,
Broodkeeper's Blaze,5522,0.021,14.0,20.63s,118586.0,0.0,Periodic,38.1,32657.0,65647.0,43468.0,0.328,0.254
Echoed Flare,19895 (20947),7.5% (7.9%),16.9,17.24s,373782.0,0.0,Direct,16.9 (22.3),266558.0,536075.0,355124.0,32.9% (32.9%),
    Anvil Strike,1053,0.004,5.4,60.88s,57978.0,0.0,Direct,5.4,43453.0,87337.0,57981.0,0.331,
Elder Flame,0 (8881),0.0% (3.3%),0.0,0.00s,0.0,0.0,,,,,,,
"    Djaruun, Pillar of the Elder Flame (Wave)",8621,0.032,27.3,8.83s,94939.0,0.0,Direct,27.3,71285.0,143330.0,94939.0,0.328,
"    Djaruun, Pillar of the Elder Flame (Siphon)",260,0.001,2.5,150.32s,31523.0,0.0,Direct,2.5,23633.0,47515.0,31523.0,0.33,
Launched Thorns,11713,0.044,26.8,10.94s,130949.0,0.0,Direct,26.8,98404.0,197779.0,131004.0,0.328,
Mangle,27518,0.103,85.1,3.51s,96955.0,98419.0,Direct,85.1,72758.0,146258.0,96955.0,0.329,
Maul,46170 (70431),17.3% (26.4%),98.8,2.98s,213466.0,159649.0,Direct,98.8 (136.4),85542.0,171888.0,139901.0,63.0% (62.9%),
    Tooth and Claw,24262,0.091,37.6,7.76s,193405.0,0.0,Direct,37.6,118238.0,237709.0,193403.0,0.629,
Moonfire,10193 (22497),3.8% (8.5%),21.2,14.09s,144391.0,139444.0,Direct,21.2 (60.7),47220.0,94914.0,62936.0,32.9% (32.9%),
,,,,,,,Periodic,114.7 (60.7),11323.0,22750.0,15076.0,32.8% (32.8%),39.3% (99.7%)
    Galactic Guardian,12305,0.046,39.5,7.52s,93420.0,0.0,Direct,39.5,13560.0,27242.0,18065.0,0.329,
,,,,,,,Periodic,191.3,11675.0,23452.0,15544.0,0.329,0.604
Moonless Night,25848,0.097,221.4,1.34s,34978.0,0.0,Direct,221.4,34978.0,0.0,34978.0,0,
Rage of the Sleeper,2764,0.01,5.3,61.12s,155261.0,0.0,Direct,43.3,19129.0,0.0,19129.0,0,
Smolderon's Delusions of Grandeur,0 (7377),0.0% (2.8%),8.4,32.69s,265036.0,0.0,,,,,,,
    Blazing Rage,7377,0.028,79.4,3.18s,27877.0,0.0,Direct,79.4,20930.0,42077.0,27876.0,0.329,
Swipe,771,0.003,9.3,25.46s,25004.0,23533.0,Direct,9.3,18817.0,37824.0,25004.0,0.326,
Thorns of Iron,177,0.001,3.9,73.93s,13696.0,0.0,Direct,3.9,10299.0,20708.0,13696.0,0.326,
Thrash,13459 (16831),5.1% (6.3%),49.8,6.05s,101330.0,100989.0,Direct,49.8 (62.2),29037.0,58351.0,38687.0,32.9% (32.9%),
,,,,,,,Periodic,162.6 (62.2),9743.0,19581.0,12974.0,32.8% (32.9%),79.7% (99.4%)
    Flashing Claws,3372,0.013,12.4,22.29s,81790.0,0.0,Direct,12.4,29076.0,58416.0,38681.0,0.327,
,,,,,,,Periodic,40.7,9833.0,19758.0,13109.0,0.33,0.197
Vicious Brand,18699,0.071,25.7,11.47s,220530.0,0.0,Periodic,128.1 (128.1),33153.0,66549.0,44153.0,32.9% (32.9%),42.7% (42.7%)
