DF4_Fury_Warrior,Damage-per-second,damage-per-second%,Execute,Interval,Damage-per-Execution,Damage-per-Execution-time,Type,Count,Hit,Crit,Average,Crit%,uptime%,Unnamed: 14
Annihilating Flame,24132,0.059,115.0,2.54s,62923.0,0.0,Direct,115,45274.0,92464.0,62922.0,0.374,0.0,
"Ashkandur, Fall of the Brotherhood",7563,0.018,9.8,28.24s,230811.0,0.0,Direct,9.8,166144.0,338698.0,230808.0,0.375,0.0,
auto_attack_mh,19630,0.048,220.5,1.64s,26693.0,16633.0,Direct,220.5,19193.0,39247.0,26693.0,0.375,0.001,
auto_attack_oh,9345,0.023,213.1,1.64s,13148.0,8231.0,Direct,213.1,9457.0,19336.0,13148.0,0.375,0.001,
Bloodthirst,34188,0.084,39.3,7.57s,260791.0,305379.0,Direct,39.3,70711.0,264046.0,260793.0,0.983,0.0,
Broodkeeper's Blaze,7962,0.019,20.0,14.54s,119720.0,0.0,Periodic,52.1,33048.0,67193.0,45831.0,0.374,0.0,0.347
Champion's Spear,0 (10778),0.0% (2.6%),3.7,90.25s,864041.0,1026927.0,,,,,,,,
    Champion's Spear (_damage),10778,0.026,0.0,0.00s,0.0,0.0,Direct,3.7,103189.0,207379.0,163421.0,0.578,0.0,
,,,,,,,Periodic,43.5,32156.0,80681.0,60090.0,0.576,0.0,0.074
Charge (_impact),27,0,1.0,0.00s,7908.0,0.0,Direct,1,5704.0,11408.0,7908.0,0.386,0.0,
Execute,0 (16794),0.0% (4.1%),23.0,4.56s,218640.0,251230.0,,,,,,,,
    Execute (_mainhand),10800,0.026,0.0,0.00s,0.0,0.0,Direct,23,66905.0,145258.0,140614.0,0.941,0.0,
    Execute Off-Hand,5993,0.015,0.0,0.00s,0.0,0.0,Direct,23,37068.0,80544.0,78027.0,0.942,0.0,
Gushing Wound,12690,0.031,38.6,7.70s,98499.0,0.0,Periodic,114.4,20884.0,42748.0,33291.0,0.567,0.0,0.761
Igira's Cruel Nightmare,0 (10953),0.0% (2.7%),9.9,28.01s,332831.0,0.0,,,,,,,,
    Flaying Torment,10953,0.027,9.9,28.01s,332831.0,0.0,Periodic,27.6,119174.0,0.0,119174.0,0,0.0,0.184
Mark of Fyr'alath,5226,0.013,1505.4,0.25s,1041.0,0.0,Periodic,135,8353.0,17056.0,11606.0,0.374,0.0,0.972
Onslaught,16965,0.041,27.3,11.07s,186202.0,218620.0,Direct,27.3,116055.0,240020.0,186200.0,0.566,0.0,
Rage of Fyr'alath (_channel),0 (13993),0.0% (3.4%),2.6,124.83s,1636551.0,803579.0,,,,,,,,
    Rage of Fyr'alath,8427,0.021,15.4,13.79s,164795.0,0.0,Direct,15.4,119139.0,241084.0,164789.0,0.374,0.0,
    Explosive Rage,5566,0.014,2.6,125.14s,650707.0,0.0,Direct,2.6,476463.0,955241.0,655123.0,0.373,0.0,
Raging Blow,0 (33630),0.0% (8.2%),81.0,3.59s,124486.0,146019.0,,,,,,,,
    Raging Blow (_oh),11101,0.027,0.0,0.00s,0.0,0.0,Direct,81,25096.0,53677.0,41092.0,0.56,0.0,
    Raging Blow (_mh),22528,0.055,0.0,0.00s,0.0,0.0,Direct,81,50951.0,109007.0,83394.0,0.559,0.0,
Rampage,0 (120462),0.0% (29.4%),158.7,1.89s,227620.0,266816.0,,,,,,,,
    Rampage (1),23967,0.059,0.0,0.00s,0.0,0.0,Direct,158.7,25781.0,52862.0,45287.0,0.72,0.0,
    Rampage (2),28334,0.069,0.0,0.00s,0.0,0.0,Direct,158.6,30516.0,62522.0,53567.0,0.72,0.0,
    Rampage (3),31841,0.078,0.0,0.00s,0.0,0.0,Direct,158.4,34306.0,70371.0,60255.0,0.72,0.0,
    Rampage (4),36320,0.089,0.0,0.00s,0.0,0.0,Direct,158.4,39181.0,80331.0,68741.0,0.718,0.0,
Ravager,0 (21273),0.0% (5.2%),10.6,29.99s,599358.0,697558.0,,,,,,,,
    Ravager (_tick),21273,0.052,0.0,0.00s,0.0,0.0,Direct,65.7,59495.0,124751.0,97033.0,0.575,0.0,
Roiling Shadowflame,12920,0.032,49.2,6.02s,78789.0,0.0,Direct,49.2,56809.0,115549.0,78789.0,0.374,0.0,
Sidearm,6281,0.015,86.6,3.81s,21745.0,0.0,Direct,86.5,13607.0,28037.0,21761.0,0.565,0.0,
Vicious Brand,24221,0.06,29.9,9.78s,244501.0,0.0,Periodic,143.3 (143.3),36858.0,74806.0,51098.0,37.5% (37.5%),0.0,47.8% (47.8%)
    Radiating Brand,0,0,71.7,1.98s,,,,,,,,,,
Whirlwind,0 (54),0.0% (0.0%),0.6,25.30s,25391.0,29121.0,,,,,,,,
    Whirlwind (_mh_first),12,0,0.6,25.30s,5534.0,0.0,Direct,0.6,3832.0,7733.0,5535.0,0.436,0.0,
    Whirlwind (_mh_others),24,0,1.3,7.46s,5558.0,0.0,Direct,1.3,3825.0,7719.0,5558.0,0.445,0.0,
    Whirlwind Off-Hand (whirlwind_oh_first),6,0,0.6,25.30s,2912.0,0.0,Direct,0.6,2021.0,4082.0,2911.0,0.432,0.0,
    Whirlwind Off-Hand (whirlwind_oh_others),12,0,1.3,7.46s,2914.0,0.0,Direct,1.3,2017.0,4076.0,2915.0,0.436,0.0,
