DF4_Hunter_Beast_Mastery,Damage-per-second,damage-per-second%,Execute,Interval,Damage-per-Execution,Damage-per-Execution-time,Type,Count,Hit,Crit,Average,Crit%,uptime%
Auto Shot,14851,0.038,147.6,2.04s,30176.0,14907.0,Direct,147.3,19146.0,39168.0,30241.0,0.554,
Barbed Shot,25114 (54702),6.4% (14.0%),71.3,4.28s,229993.0,226616.0,Periodic,220.2 (362.8),21662.0,44316.0,34208.0,55.4% (55.4%),99.4% (99.4%)
    Stomp,14794  / 14794,0.038,71.3,4.28s,62175.0,0.0,Direct,71.3,31769.0,83031.0,62175.0,0.593,
    Stomp,14793  / 14793,0.038,71.3,4.28s,62160.0,0.0,Direct,71.3,31765.0,83021.0,62160.0,0.593,
Bestial Wrath,0 (1876),0.0% (0.5%),12.3,25.09s,45612.0,44459.0,,,,,,,
    Bestial Wrath,938  / 938,0.002,12.3,25.09s,22815.0,0.0,Direct,12.3,13886.0,28992.0,22815.0,0.591,
    Bestial Wrath,938  / 938,0.002,12.3,25.09s,22797.0,0.0,Direct,12.3,13892.0,28981.0,22797.0,0.59,
Bloodshed,0 (1138),0.0% (0.3%),5.4,60.30s,62605.0,60813.0,,,,,,,
    Bloodshed,1138  / 1138,0.003,5.4,60.30s,62605.0,0.0,Periodic,31.6,10778.0,0.0,10778.0,0,0.316
Broodkeeper's Blaze,3775,0.01,8.7,31.79s,129621.0,0.0,Periodic,25.1,30276.0,61801.0,45165.0,0.472,0.167
Cobra Shot,9365,0.024,45.4,5.98s,61898.0,59442.0,Direct,45.3,39557.0,80746.0,62055.0,0.546,
Completely Safe Rocket Blast,1045,0.003,49.2,6.02s,6372.0,0.0,Direct,48.8,4306.0,8789.0,6427.0,0.473,
Death Chakram,8034,0.021,7.0,45.38s,343182.0,333215.0,Direct,48.7,31275.0,64227.0,49435.0,0.551,
Kill Command,0 (119038),0.0% (30.4%),128.3,2.29s,277921.0,272906.0,,,,,,,
    Kill Command,59292  / 59292,0.151,128.3,2.29s,138429.0,0.0,Direct,128.3,70037.0,184781.0,138427.0,0.596,
    Kill Command,59746  / 59746,0.152,128.3,2.29s,139492.0,0.0,Direct,128.3,70542.0,186178.0,139492.0,0.596,
Kill Shot,1899,0.005,3.9,14.43s,145741.0,137124.0,Direct,3.9,86138.0,197682.0,146830.0,0.544,
Master Marksman,23379,0.06,380.7,0.81s,18417.0,0.0,Periodic,148.6,47180.0,0.0,47180.0,0,0.991
Mirror of Fractured Tomorrows,0 (7821),0.0% (2.0%),2.0,236.44s,1156307.0,0.0,,,,,,,
    Sand Bolt,57815  / 7821,0.02,16.0,16.88s,144538.0,60240.0,Direct,16,94627.0,190806.0,144538.0,0.519,
Tindral's Fowl Fantasia,0 (8494),0.0% (2.2%),8.0,33.83s,317308.0,0.0,,,,,,,
    Denizen of the Flame,4148,0.011,16.0,16.02s,77597.0,0.0,Direct,16,51918.0,105922.0,77595.0,0.476,
    Denizen of the Flame (Final),4346,0.011,8.0,33.81s,163379.0,0.0,Direct,8,109080.0,222735.0,163376.0,0.478,
pet - duck,115027 / 115027,,,,,,,,,,,,
Claw,16528,0.042,97.6,3.09s,50800.0,50616.0,Direct,97.6,26264.0,67743.0,50799.0,0.592,
melee,22336,0.057,418.0,0.72s,16012.0,22291.0,Direct,418,8245.0,21332.0,16012.0,0.593,
pet - animal_companion,97811 / 97811,,,,,,,,,,,,
melee,22335,0.057,417.9,0.72s,16011.0,22286.0,Direct,417.9,8243.0,21336.0,16011.0,0.593,
pet - dire_beast,76482 / 67923,,,,,,,,,,,,
Kill Command,26040,0.059,117.0,2.51s,59206.0,0.0,Direct,117,39117.0,81196.0,59206.0,0.477,
melee,50442,0.114,431.5,0.69s,31099.0,23234.0,Direct,431.5,20547.0,42676.0,31099.0,0.477,
pet - call_of_the_wild_pet,29267 / 7234,,,,,,,,,,,,
melee,29267,0.018,169.9,2.11s,12707.0,9995.0,Direct,169.9,8324.0,17129.0,12707.0,0.498,
