DF4_Hunter_Survival,Damage-per-second,damage-per-second%,Execute,Interval,Damage-per-Execution,Damage-per-Execution-time,Type,Count,Hit,Crit,Average,Crit%,uptime%
Arcane Shot,3126,0.008,0.0,0.00s,0.0,0.0,Direct,10,61475.0,125367.0,93736.0,0.505,
Arctic Bola,4344,0.011,31.8,9.24s,40943.0,0.0,Direct,31.8,26876.0,54862.0,40960.0,0.503,
auto_attack_mh,11459,0.028,163.2,2.21s,21053.0,9575.0,Direct,163.2,13820.0,28200.0,21053.0,0.503,
Broodkeeper's Blaze,7116,0.018,16.2,17.73s,131842.0,0.0,Periodic,43.9,31878.0,65056.0,48547.0,0.502,0.293
Death Chakram,10943,0.027,7.0,45.59s,465962.0,454551.0,Direct,49,43939.0,89736.0,66952.0,0.503,
Deep Chill,8056,0.02,33.0,8.91s,73223.0,0.0,Direct,33,48061.0,98059.0,73223.0,0.503,
Echoed Flare,21079 (22267),5.2% (5.5%),15.9,18.11s,420610.0,0.0,Direct,15.9 (21.4),261134.0,532750.0,398321.0,50.5% (50.5%),
    Anvil Strike,1188,0.003,5.5,60.47s,65010.0,0.0,Direct,5.5,42591.0,86892.0,65009.0,0.506,
Flanking Strike,0 (6365),0.0% (1.6%),8.8,33.35s,217701.0,211485.0,,,,,,,
    Flanking Strike (_damage),3425,0.008,0.0,0.00s,0.0,0.0,Direct,8.8,76795.0,156713.0,117120.0,0.505,
    Flanking Strike,2941  / 2941,0.007,8.8,33.35s,100581.0,0.0,Direct,8.8,65163.0,135447.0,100578.0,0.504,
Harpoon,0 (1191),0.0% (0.3%),15.1,20.38s,23603.0,0.0,,,,,,,
    Harpoon (_terms_of_engagement),1191,0.003,0.0,0.00s,0.0,0.0,Direct,15.1,15483.0,31601.0,23606.0,0.504,
Hungering Shadowflame,8728,0.022,16.5,17.42s,158530.0,0.0,Direct,16.5,104204.0,211923.0,158526.0,0.504,
Igira's Cruel Nightmare,0 (8811),0.0% (2.2%),8.1,33.52s,326740.0,0.0,,,,,,,
