DF4_Mage_Arcane,Damage-per-second,damage-per-second%,Execute,Interval,Damage-per-Execution,Damage-per-Execution-time,Type,Count,Hit,Crit,Average,Crit%,uptime%
Arcane Assault,3080,0.008,141.4,2.11s,6536.0,0.0,Direct,141.2,4686.0,9831.0,6544.0,0.361,
Arcane Barrage,13022,0.034,12.1,25.50s,323467.0,297762.0,Direct,11.7,242075.0,506064.0,334482.0,0.35,
Arcane Blast,165708,0.426,156.9,1.90s,316572.0,291094.0,Direct,156.9,226746.0,476238.0,316575.0,0.36,
Arcane Echo,17514,0.045,520.5,0.53s,10106.0,0.0,Direct,520.5,7238.0,15174.0,10106.0,0.361,
Arcane Missiles,93724,0.241,46.1,6.41s,609504.0,438560.0,Periodic,343.1,58579.0,122959.0,81921.0,0.363,0.2
Arcane Orb,0 (996),0.0% (0.3%),3.3,109.47s,90027.0,95642.0,,,,,,,
    Arcane Orb (_bolt),996,0.003,3.3,85.57s,90027.0,0.0,Direct,3.3,64372.0,135069.0,90028.0,0.363,
Arcane Surge,4253,0.011,4.0,80.81s,318404.0,178744.0,Direct,4,228821.0,483046.0,318402.0,0.352,
Broodkeeper's Blaze,3277,0.008,8.1,35.09s,121203.0,0.0,Periodic,23.2,31890.0,63772.0,42456.0,0.331,0.155
Crystal Sickness,16130,0.042,11.8,24.40s,412264.0,0.0,Periodic,98.9 (98.9),49003.0,0.0,49003.0,0.0% (0.0%),33.0% (33.0%)
Harmonic Echo,8493,0.022,30.2,9.13s,84653.0,0.0,Direct,30.2,84653.0,0.0,84653.0,0,
Mirror Image,0 (386),0.0% (0.1%),1.0,0.00s,114317.0,0.0,,,,,,,
    Frostbolt,2858  / 386,0.001,122.4,0.95s,934.0,963.0,Direct,122.4,700.0,1398.0,934.0,0.335,
Nether Tempest,4502 (8987),1.2% (2.3%),12.4,23.65s,219347.0,204626.0,Periodic,213.9 (427.0),4546.0,9544.0,6347.0,36.0% (36.0%),47.7% (47.7%)
    Nether Tempest (_aoe),4485,0.012,213.9,1.31s,6324.0,0.0,Periodic,213.2,4547.0,9542.0,6345.0,0.36,0
Radiant Spark,4140,0.011,7.6,39.81s,162720.0,146607.0,Direct,7.6,59569.0,124742.0,83167.0,0.362,
,,,,,,,Periodic,67.6,6440.0,13495.0,8978.0,0.36,0.299
Roiling Shadowflame,4716,0.012,39.0,7.63s,36344.0,0.0,Direct,39,27311.0,54540.0,36344.0,0.332,
Shifting Power,1651,0.004,3.6,80.85s,138128.0,47914.0,Periodic,14.4,24958.0,52358.0,34532.0,0.349,0.032
Tindral's Fowl Fantasia,0 (7715),0.0% (2.0%),7.8,35.37s,297390.0,0.0,,,,,,,
    Denizen of the Flame,3773,0.01,15.6,16.69s,72864.0,0.0,Direct,15.6,54614.0,109239.0,72864.0,0.334,
    Denizen of the Flame (Final),3941,0.01,7.7,35.33s,153087.0,0.0,Direct,7.7,114766.0,229522.0,153089.0,0.334,
Touch of the Magi,0 (30676),0.0% (7.9%),7.6,39.83s,1207352.0,0.0,,,,,,,
    Touch of the Magi (_explosion),30676,0.079,7.6,39.49s,1207352.0,0.0,Direct,7.3,1264458.0,0.0,1264458.0,0,
Web of Dreams,4260,0.011,3.0,120.64s,421948.0,0.0,Direct,3,316945.0,634152.0,424277.0,0.338,
