DF4_Monk_Windwalker,Damage-per-second,damage-per-second%,Execute,Interval,Damage-per-Execution,Damage-per-Execution-time,Type,Count,Hit,Crit,Average,Crit%,uptime%
Blackout Kick,21916 (38766),5.6% (9.8%),55.3,5.31s,210521.0,227654.0,Direct,55.3 (116.5),80418.0,166358.0,119074.0,45.0% (45.6%),
    Blackout Kick (_totm_proc),16850,0.043,0.0,0.00s,0.0,0.0,Direct,61.2,54801.0,114777.0,82537.0,0.462,
Broodkeeper's Blaze,4369,0.011,9.4,30.38s,139081.0,0.0,Periodic,26.2,35579.0,71151.0,50088.0,0.408,0.175
Chi Burst,0 (650),0.0% (0.2%),5.0,52.37s,39203.0,45470.0,,,,,,,
    Chi Burst (_damage),650,0.002,5.0,52.37s,39203.0,0.0,Direct,5,27336.0,54607.0,39203.0,0.435,
Elder Flame,0 (10454),0.0% (2.7%),0.0,0.00s,0.0,0.0,,,,,,,
"    Djaruun, Pillar of the Elder Flame (Wave)",10162,0.026,28.2,8.68s,108732.0,0.0,Direct,28.2,77152.0,154344.0,108734.0,0.409,
"    Djaruun, Pillar of the Elder Flame (Siphon)",292,0.001,2.4,158.37s,36269.0,0.0,Direct,2.4,25670.0,51346.0,36269.0,0.413,
Empowered Tiger Lightning,13459,0.034,14.3,21.14s,281322.0,0.0,Direct,14.3,281324.0,0.0,281324.0,0,
Empowered Tiger Lightning (_fury_of_xuen),2716,0.007,9.8,24.37s,83231.0,0.0,Direct,9.8,83233.0,0.0,83233.0,0,
Entropic Embrace,6280,0.016,249.3,1.68s,7515.0,0.0,Periodic,249.3,7515.0,0.0,7515.0,0,0
Expel Harm (_damage),216,0.001,2.6,62.13s,24902.0,0.0,Direct,3.6,17961.0,0.0,17961.0,0,
Fists of Fury,82553,0.209,24.9,12.15s,992892.0,350001.0,Periodic,113.2,146033.0,302995.0,218300.0,0.46,0.228
Fists of Fury (_cancel),1007,0.003,0.7,8.27s,427408.0,356591.0,Periodic,1.5,148059.0,294977.0,213704.0,0.447,0.002
Flying Serpent Kick,17,0,1.1,91.94s,4459.0,4447.0,Direct,1.1,3161.0,6330.0,4459.0,0.41,
Igira's Cruel Nightmare,0 (8611),0.0% (2.2%),7.1,38.48s,365103.0,0.0,,,,,,,
    Flaying Torment,8611,0.022,7.1,38.48s,365103.0,0.0,Periodic,20.2,128212.0,0.0,128212.0,0,0.135
Jadefire Stomp,0 (8709),0.0% (2.2%),27.0,11.30s,96807.0,98779.0,,,,,,,
    Jadefire Stomp (_ww_dmg),5392,0.014,27.0,11.30s,59931.0,0.0,Direct,27,41081.0,83545.0,59930.0,0.444,
    Jadefire Stomp (_dmg),3317,0.008,27.0,11.30s,36876.0,0.0,Direct,27,25262.0,51460.0,36876.0,0.443,
melee_main_hand,7214,0.018,93.8,3.88s,23049.0,8296.0,Direct,93.8,16359.0,32745.0,23049.0,0.408,
Resonant Fists,4206,0.011,63.0,4.70s,20035.0,0.0,Direct,63,13364.0,27888.0,20035.0,0.459,
Rising Sun Kick,111853 (113398),28.3% (28.7%),50.5,5.91s,672972.0,681108.0,Direct,50.5 (63.1),329147.0,803800.0,663798.0,70.5% (66.0%),
    Glory of the Dawn,1546,0.004,12.7,22.82s,36569.0,0.0,Direct,12.7,23517.0,50804.0,36568.0,0.478,
Spinning Crane Kick,13580,0.034,10.4,27.76s,392177.0,210881.0,Periodic,41.5,66245.0,138145.0,98253.0,0.445,0.041
Strike of the Windlord,0 (16855),0.0% (4.3%),8.5,37.46s,596490.0,602818.0,,,,,,,
    Strike of the Windlord (_offhand),5295,0.013,0.0,0.00s,0.0,0.0,Direct,8.5,103802.0,253111.0,187353.0,0.56,
    Strike of the Windlord (_mainhand),11560,0.029,0.0,0.00s,0.0,0.0,Direct,8.5,233489.0,549105.0,409147.0,0.557,
Thunderfist,7621,0.019,8.4,37.59s,271266.0,0.0,Direct,8.4,158208.0,366494.0,271281.0,0.543,
Tiger Palm,9955 (12475),2.5% (3.2%),61.9,4.82s,60482.0,61990.0,Direct,61.9 (197.4),34124.0,67027.0,48268.0,43.0% (43.0%),
    Eye of the Tiger (_damage),2520,0.006,61.9,4.82s,12214.0,0.0,Periodic,135.5,3702.0,7768.0,5579.0,0.462,0.896
Touch of Death,2241,0.006,1.0,0.00s,663118.0,673900.0,Direct,1,663120.0,0.0,663120.0,0,
Touch of Karma,7111,0.018,3.4,114.42s,618810.0,0.0,Periodic,20.5,104096.0,0.0,104096.0,0,0.068
Vicious Brand,15983,0.041,21.5,13.70s,226005.0,0.0,Periodic,110.2 (110.2),31316.0,62661.0,44061.0,40.7% (40.7%),36.7% (36.7%)
    Radiating Brand,0,0,33.3,2.33s,,,,,,,,,
pet - white_tiger_statue,7823 / 1798,,,,,,,,,,,,
Claw of the White Tiger,7823,0.005,34.6,7.31s,15583.0,0.0,Direct,34.6,11064.0,22135.0,15583.0,0.408,
pet - xuen_the_white_tiger,45872 / 8827,,,,,,,,,,,,
Crackling Tiger Lightning,32038,0.016,3.0,137.82s,621292.0,0.0,Periodic,99.7,13093.0,26169.0,18453.0,0.41,0.191
melee_main_hand,13835,0.007,93.9,3.08s,8457.0,14036.0,Direct,93.9,6002.0,12004.0,8457.0,0.409,
pet - fury_of_xuen_tiger,33168 / 5568,,,,,,,,,,,,
Crackling Tiger Lightning,24000,0.01,6.4,44.73s,189593.0,0.0,Periodic,77.7,11049.0,22093.0,15548.0,0.407,0.168
melee_main_hand,9168,0.004,65.1,3.84s,7087.0,9599.0,Direct,65.1,5031.0,10066.0,7087.0,0.408,
