DF4_Paladin_Retribution,Damage-per-second,damage-per-second%,Execute,Interval,Damage-per-Execution,Damage-per-Execution-time,Type,Count,Hit,Crit,Average,Crit%,uptime%
Blade of Justice,23978,0.057,51.6,5.83s,139328.0,137654.0,Direct,51.6,93611.0,198021.0,139329.0,0.438,
(blade_of_justice_) Consecration,0 (5279),0.0% (1.2%),21.9,13.97s,72254.0,0.0,,,,,,,
    (blade_of_justice_) Consecration,5279,0.012,0.0,0.00s,0.0,0.0,Periodic,386.9,2693.0,5730.0,4092.0,0.461,0
Broodkeeper's Blaze,7295,0.017,16.6,17.39s,132053.0,0.0,Periodic,44.4,33677.0,67356.0,49309.0,0.464,0.296
Divine Arbiter,12680,0.03,18.7,15.71s,202991.0,0.0,Direct,18.7,203070.0,0.0,203070.0,0,
Divine Storm,5249,0.012,13.7,22.28s,114905.0,0.0,Direct,13.7 (13.7),74155.0,158647.0,114901.0,48.2% (48.2%),
Divine Toll,0 (8313),0.0% (2.0%),5.3,61.57s,470457.0,468306.0,,,,,,,
    (divine_toll_) Judgment,3416,0.008,5.3,61.57s,193138.0,0.0,Direct,5.3,119830.0,246338.0,193238.0,0.58,
    (divine_resonance_) Judgment,4897,0.012,15.2,18.73s,96599.0,0.0,Direct,15.2,59854.0,122909.0,96666.0,0.584,
Echoed Flare,21925 (23051),5.2% (5.5%),16.4,17.62s,423755.0,0.0,Direct,16.4 (21.8),275272.0,551648.0,403196.0,46.3% (44.4%),
    Anvil Strike,1125,0.003,5.4,61.07s,62220.0,0.0,Direct,5.4,44811.0,89688.0,62220.0,0.388,
Execution Sentence,47000,0.111,9.6,31.17s,1470218.0,1951024.0,Direct,9.6,1470228.0,0.0,1470228.0,0,
Expurgation,15309,0.036,51.6,5.83s,88941.0,0.0,Periodic,149.2,20324.0,42786.0,30765.0,0.465,0.97
Final Verdict,80820 (92628),19.1% (21.8%),84.2,3.52s,329923.0,325189.0,Direct,84.2 (150.9),185548.0,396516.0,287872.0,48.5% (48.7%),
    Final Verdict (_echo),11808,0.028,66.7,4.43s,53076.0,0.0,Direct,66.7,34046.0,73011.0,53077.0,0.488,
Hammer of Wrath,28741 (33268),6.8% (7.8%),50.2,5.90s,198734.0,198446.0,Direct,50.2 (149.9),0.0,171791.0,171791.0,100.0% (100.0%),
    blessed_hammer,0 (4526),0.0% (1.1%),50.2,5.90s,27057.0,0.0,,,,,,,
        Blessed Hammers (blessed_hammer_tick),4526,0.011,0.0,0.00s,0.0,0.0,Periodic,99.7,8671.0,18431.0,13615.0,0.507,0
Igira's Cruel Nightmare,0 (9343),0.0% (2.2%),8.1,32.98s,343655.0,0.0,,,,,,,
    Flaying Torment,9343,0.022,8.1,32.98s,343655.0,0.0,Periodic,23.1,121455.0,0.0,121455.0,0,0.154
Judgment,13808,0.033,52.0,5.76s,79651.0,78500.0,Direct,52,52635.0,111867.0,79682.0,0.457,
Mark of Fyr'alath,5991,0.014,826.9,0.54s,2173.0,0.0,Periodic,143.9,8511.0,17025.0,12483.0,0.466,0.968
melee,0 (27711),0.0% (6.5%),145.3,2.05s,57210.0,28378.0,,,,,,,
    Crusading Strikes (crusading_strike),21694,0.051,145.3,2.05s,44789.0,0.0,Direct,145.3,29351.0,62498.0,44788.0,0.466,
    Seal of the Crusader,6017,0.014,145.3,2.05s,12422.0,0.0,Direct,145.3,8142.0,17338.0,12422.0,0.465,
Rage of Fyr'alath (_channel),0 (16905),0.0% (3.9%),3.0,120.35s,1679804.0,854797.0,,,,,,,
    Rage of Fyr'alath,10154,0.024,17.9,14.27s,168497.0,0.0,Direct,17.9,121347.0,242818.0,168495.0,0.388,
    Explosive Rage,6751,0.016,3.0,120.54s,671202.0,0.0,Direct,3,485187.0,970991.0,675298.0,0.391,
Shield of Vengeance (_proc),9263,0.022,4.9,64.02s,562734.0,0.0,Direct,4.9,562727.0,0.0,562727.0,0,
Vicious Brand,20021,0.048,24.8,11.74s,244200.0,0.0,Periodic,124.5 (124.5),33615.0,66137.0,48727.0,46.5% (46.5%),41.5% (41.5%)
    Radiating Brand,0,0,49.1,2.20s,,,,,,,,,
Wake of Ashes,9689 (27316),2.3% (6.4%),10.0,31.20s,822299.0,816502.0,Direct,10.0 (79.5),187628.0,400350.0,291749.0,48.9% (48.8%),
    Truth's Wake,7220,0.017,10.0,31.20s,217233.0,0.0,Periodic,49.7,27975.0,59676.0,43557.0,0.492,0.292
    Wake of Ashes (seething_flames_0),5210,0.012,10.0,31.20s,157067.0,0.0,Direct,10,101175.0,215677.0,157067.0,0.488,
    Wake of Ashes (seething_flames_1),5197,0.012,9.9,31.20s,156960.0,0.0,Direct,9.9,101112.0,215594.0,156958.0,0.488,
Wrathful Sanction,19634,0.046,71.1,4.20s,82898.0,0.0,Direct,71.1,53414.0,113627.0,82898.0,0.49,
