DF4_Rogue_Assassination,Damage-per-second,damage-per-second%,Execute,Interval,Damage-per-Execution,Damage-per-Execution-time,Type,Count,Hit,Crit,Average,Crit%,uptime%,Unnamed: 14
Ambush,6558,0.017,33.3,9.06s,59119.0,58905.0,Direct,33.3,37577.0,77733.0,59119.0,0.536,0.0,
Amplifying Poison,14005,0.037,0.0,0.00s,0.0,0.0,Direct,501.4,5223.0,11371.0,8374.0,0.512,0.0,
auto_attack_mh,13178,0.035,454.1,0.77s,8699.0,11357.0,Direct,454.1,6911.0,13820.0,8699.0,0.423,0.164,
auto_attack_oh,6501,0.017,453.5,0.77s,4298.0,5609.0,Direct,453.5,3418.0,6832.0,4298.0,0.422,0.164,
Broodkeeper's Blaze,4110,0.011,10.1,27.30s,122461.0,0.0,Periodic,27.9,31024.0,62037.0,44123.0,0.422,0.0,0.186
Deadly Poison (_driver),0 (22088),0.0% (5.8%),0.0,0.00s,0.0,0.0,,,,,,,,
    Deadly Poison (_instant),13985,0.037,0.0,0.00s,0.0,0.0,Direct,500.6,5223.0,11372.0,8375.0,0.513,0.0,
    Deadly Poison (_dot),8102,0.021,0.0,0.00s,0.0,0.0,Periodic,209.2,7251.0,15771.0,11614.0,0.512,0.0,0.994
Deathmark,3519 (38552),0.9% (10.2%),2.9,121.31s,3948948.0,3935730.0,Periodic,35.6 (363.8),20797.0,41566.0,29551.0,42.2% (40.0%),0.0,15.2% (60.8%)
    Garrote (_deathmark),11640 (14666),3.1% (3.9%),0.0,0.00s,0.0,0.0,Periodic,34.7 (64.0),60824.0,122918.0,100332.0,63.6% (34.5%),0.0,15.3% (15.3%)
        Sanguine Blades (_deathmark_garrote),3026,0.008,29.3,8.54s,30964.0,0.0,Periodic,29.3,30965.0,0.0,30965.0,0,0.0,0
    Rupture (_deathmark),7915 (9943),2.1% (2.6%),0.0,0.00s,0.0,0.0,Periodic,34.1 (62.9),44044.0,87497.0,69409.0,58.4% (31.6%),0.0,15.1% (15.1%)
        Sanguine Blades (_deathmark_rupture),2028,0.005,28.8,8.66s,21112.0,0.0,Periodic,28.8,21112.0,0.0,21112.0,0,0.0,0
    Amplifying Poison (_deathmark),4066,0.011,0.0,0.00s,0.0,0.0,Direct,83.4,8701.0,17893.0,14587.0,0.64,0.0,
    Deadly Poison (_dot_deathmark),2296,0.006,0.0,0.00s,0.0,0.0,Periodic,34.5,11887.0,24554.0,19901.0,0.633,0.0,0.153
    Deadly Poison (_instant_deathmark),4062,0.011,0.0,0.00s,0.0,0.0,Direct,83.4,8699.0,17871.0,14572.0,0.64,0.0,
Envenom,50397 (91766),13.3% (24.3%),69.4,4.25s,396263.0,394829.0,Direct,69.4 (250.8),139351.0,308214.0,217662.0,46.4% (46.2%),0.0,
    Envenomous Explosion,29172,0.077,63.8,4.54s,136924.0,0.0,Direct,63.8,90311.0,190889.0,136925.0,0.463,0.0,
    Poison Bomb,12197,0.032,117.6,2.42s,31083.0,0.0,Direct,117.6,20285.0,43745.0,31083.0,0.46,0.0,
Garrote,37276 (44637),9.9% (11.8%),18.8,16.13s,712732.0,710153.0,Periodic,207.8 (334.0),33283.0,73007.0,53782.0,51.6% (32.1%),0.0,97.5% (97.5%)
    Sanguine Blades (_garrote),7361,0.02,126.2,2.23s,17521.0,0.0,Periodic,126.2,17521.0,0.0,17521.0,0,0.0,0
Igira's Cruel Nightmare,0 (8141),0.0% (2.2%),7.7,34.95s,315966.0,0.0,,,,,,,,
    Flaying Torment,8141,0.022,7.7,34.95s,315966.0,0.0,Periodic,21.8,111863.0,0.0,111863.0,0,0.0,0.146
Internal Bleeding,9455,0.025,0.0,0.00s,0.0,0.0,Periodic,115.4,16257.0,34349.0,24619.0,0.462,0.0,0.259
Kingsbane,53139,0.141,5.3,60.85s,3022657.0,3012172.0,Direct,5.3,139196.0,278110.0,246418.0,0.772,0.0,
,,,,,,,Periodic,36,254459.0,507255.0,407146.0,0.604,0.0,0.24
Mutilate,0 (11376),0.0% (3.0%),106.9,2.78s,31902.0,31787.0,,,,,,,,
    Mutilate (_mh),7611,0.02,106.9,2.78s,21343.0,0.0,Direct,106.9,13997.0,28976.0,21343.0,0.49,0.0,
    Mutilate (_oh),3765,0.01,106.9,2.78s,10560.0,0.0,Direct,106.9,6913.0,14332.0,10560.0,0.492,0.0,
Rupture,28198 (33459),7.5% (8.9%),12.5,23.99s,800931.0,798048.0,Periodic,206.3 (330.8),26890.0,57408.0,40998.0,46.2% (28.8%),0.0,97.2% (97.2%)
    Sanguine Blades (_rupture),5261,0.014,124.6,2.25s,12697.0,0.0,Periodic,124.6,12698.0,0.0,12698.0,0,0.0,0
Shiv,1146,0.003,11.1,28.01s,30969.0,30857.0,Direct,11.1,20774.0,41953.0,30968.0,0.481,0.0,
Timestrike,3245,0.009,332.4,0.97s,2927.0,0.0,Direct,332.4,2927.0,0.0,2927.0,0,0.0,
Vicious Brand,16287,0.044,23.5,12.38s,209900.0,0.0,Periodic,117.8 (117.8),29440.0,58990.0,41907.0,42.2% (42.2%),0.0,39.3% (39.3%)
    Radiating Brand,0,0,42.5,2.27s,,,,,,,,,,
