DF4_Shaman_Elemental,Damage-per-second,damage-per-second%,Execute,Interval,Damage-per-Execution,Damage-per-Execution-time,Type,Count,Hit,Crit,Average,Crit%,uptime%
Ascendance (_dre),0 (11339),0.0% (2.8%),9.8,28.67s,346731.0,0.0,,,,,,,
    Lava Burst (_dre),5863 (11339),1.4% (2.8%),9.8,28.68s,346806.0,0.0,Direct,9.8 (19.2),0.0,179703.0,179703.0,100.0% (100.0%),
        Lava Burst Overload (_dre),5476,0.014,9.4,29.63s,174368.0,0.0,Direct,9.4,0.0,174732.0,174732.0,1,
Broodkeeper's Blaze,6081,0.015,16.1,17.89s,113455.0,0.0,Periodic,43.3,32664.0,66657.0,42104.0,0.278,0.289
Crystal Sickness,16000,0.04,12.1,23.30s,397066.0,0.0,Periodic,102.1 (102.1),47028.0,0.0,47028.0,0.0% (0.0%),34.0% (34.0%)
Elemental Blast,66129 (97766),16.3% (24.1%),54.9,5.39s,533526.0,396142.0,Direct,54.8 (107.3),241791.0,619783.0,361743.0,31.7% (31.7%),
    Elemental Blast Overload,31637,0.078,52.6,5.62s,180455.0,0.0,Direct,52.4,120941.0,309721.0,180905.0,0.318,
Elemental Blast (_pw),12492 (18382),3.1% (4.5%),15.5,19.93s,356446.0,0.0,Direct,15.4 (30.0),163793.0,419587.0,242820.0,30.9% (30.9%),
    Elemental Blast Overload (_pw),5890,0.015,14.6,20.88s,121256.0,0.0,Direct,14.5,81921.0,209780.0,121548.0,0.31,
Flame Shock,13287,0.033,18.1,16.91s,220016.0,1400089.0,Direct,18.1,14499.0,37125.0,21474.0,0.308,
,,,,,,,Periodic,270.1,8889.0,22771.0,13318.0,0.319,0.992
Frost Shock,9534,0.024,19.1,15.04s,149660.0,147535.0,Direct,19.1,104124.0,266960.0,149662.0,0.28,
Hungering Shadowflame,7302,0.018,16.1,17.84s,136450.0,0.0,Direct,16.1,105335.0,216921.0,136445.0,0.279,
Icefury,2181 (4160),0.5% (1.0%),6.0,46.08s,208711.0,149618.0,Direct,7.0 (13.4),66199.0,170353.0,93953.0,26.6% (26.7%),
    Icefury Overload,1978,0.005,6.5,47.40s,91282.0,0.0,Direct,6.5,64441.0,165569.0,91524.0,0.268,
Lava Burst,80793 (153931),19.9% (38.0%),145.2,2.06s,317855.0,273609.0,Direct,144.9 (284.2),62384.0,167195.0,167150.0,100.0% (100.0%),
    Lava Burst Overload,73138,0.18,139.5,2.14s,157240.0,0.0,Direct,139.2,52940.0,157560.0,157546.0,1,
Lightning Bolt,1287 (2525),0.3% (0.6%),5.8,33.77s,129941.0,101048.0,Direct,5.8 (11.3),44463.0,113946.0,66213.0,31.3% (31.7%),
    Lightning Bolt Overload,1238,0.003,5.5,35.06s,66843.0,0.0,Direct,5.5,44455.0,113987.0,66843.0,0.322,
Molten Slag,19380,0.048,393.4,0.79s,14774.0,0.0,Periodic,145.1,40068.0,0.0,40068.0,0,0.967
Primordial Wave,0 (33075),0.0% (8.2%),15.5,19.93s,639601.0,615551.0,,,,,,,
    Primordial Wave (_damage),1526,0.004,15.5,19.93s,29580.0,0.0,Direct,15.5,23096.0,47154.0,29579.0,0.269,
    Lava Burst (_pw),6213 (12043),1.5% (3.0%),15.4,19.95s,233750.0,0.0,Direct,15.4 (30.3),0.0,120835.0,120835.0,100.0% (100.0%),
        Lava Burst Overload (_pw),5830,0.014,14.9,20.61s,117575.0,0.0,Direct,14.8,0.0,117809.0,117809.0,1,
    Lava Burst (_mc),10081 (19506),2.5% (4.8%),30.6,9.74s,191396.0,0.0,Direct,30.5 (59.9),0.0,99110.0,99110.0,100.0% (100.0%),
        Lava Burst Overload (_mc),9424,0.023,29.4,10.12s,96067.0,0.0,Direct,29.4,0.0,96261.0,96261.0,1,
Tindral's Fowl Fantasia,0 (7779),0.0% (1.9%),7.9,34.29s,295522.0,0.0,,,,,,,
    Denizen of the Flame,3809,0.009,15.8,16.25s,72454.0,0.0,Direct,15.8,56100.0,114525.0,72456.0,0.28,
    Denizen of the Flame (Final),3970,0.01,7.8,34.24s,151819.0,0.0,Direct,7.8,117775.0,240404.0,151818.0,0.278,
pet - greater_fire_elemental,19955 / 4694,,,,,,,,,,,,
Fire Blast,19955,0.012,35.6,7.10s,39655.0,20698.0,Direct,35.6,30558.0,63505.0,39655.0,0.276,
