DF4_Shaman_Enhancement,Damage-per-second,damage-per-second%,Execute,Interval,Damage-per-Execution,Damage-per-Execution-time,Type,Count,Hit,Crit,Average,Crit%,uptime%
Broodkeeper's Blaze,6754,0.017,17.6,16.38s,114737.0,0.0,Periodic,46.9,33001.0,66028.0,43197.0,0.309,0.313
Elemental Blast,62125,0.153,25.2,12.01s,738914.0,788776.0,Direct,25.2,549404.0,1098964.0,739184.0,0.345,
Flame Shock,42994,0.106,115.9,2.60s,111257.0,1407447.0,Direct,115.9,37400.0,74861.0,50527.0,0.35,
,,,,,,,Periodic,236.7,22018.0,44035.0,29728.0,0.35,0.997
Flametongue Weapon,0 (5289),0.0% (1.3%),1.0,0.00s,1586167.0,0.0,,,,,,,
    Flametongue Attack,5289,0.013,741.4,0.61s,2139.0,0.0,Direct,741.4,1632.0,3266.0,2139.0,0.311,
Frost Shock,37599,0.093,48.5,6.13s,232520.0,244276.0,Direct,48.5,177363.0,354709.0,232520.0,0.311,
Ice Strike,12730,0.031,28.4,10.66s,134596.0,143275.0,Direct,28.4,102713.0,205456.0,134598.0,0.31,
Igira's Cruel Nightmare,0 (9736),0.0% (2.4%),8.7,31.40s,334577.0,0.0,,,,,,,
    Flaying Torment,9736,0.024,8.7,31.40s,334577.0,0.0,Periodic,24.5,119019.0,0.0,119019.0,0,0.164
Lava Lash,72255,0.178,93.3,3.20s,232232.0,243897.0,Direct,93.3 (93.3),177273.0,354430.0,232229.0,31.0% (31.0%),
Lightning Bolt,42090,0.104,36.2,8.22s,348816.0,345084.0,Direct,36.2,258307.0,516439.0,348813.0,0.351,
main_hand,7817,0.019,234.1,1.49s,10014.0,6989.0,Direct,234.1,8729.0,17467.0,10014.0,0.311,
offhand,4036,0.01,241.8,1.44s,5006.0,3498.0,Direct,241.8,4367.0,8737.0,5006.0,0.31,
Primordial Wave,0 (39063),0.0% (9.6%),13.2,23.96s,885645.0,840502.0,,,,,,,
    Primordial Wave (_damage),7225,0.018,13.2,23.57s,163864.0,0.0,Direct,13.2,125374.0,250921.0,163865.0,0.307,
    Lightning Bolt (_pw),31839,0.078,13.1,23.28s,727150.0,0.0,Direct,13.1,538611.0,1077158.0,727152.0,0.35,
Stormstrike,0 (7689),0.0% (1.9%),36.0,8.18s,64151.0,67046.0,,,,,,,
    Stormstrike (_mh),5127,0.013,36.0,8.18s,42776.0,0.0,Direct,36,32603.0,65252.0,42777.0,0.312,
    Stormstrike Off-Hand,2562,0.006,36.0,8.18s,21375.0,0.0,Direct,36,16301.0,32626.0,21375.0,0.311,
Thorn Spirit,7946 (11627),2.0% (2.9%),8.7,31.52s,401064.0,0.0,Periodic,36.3 (82.2),50039.0,100120.0,65673.0,31.2% (31.2%),36.3% (36.3%)
    Thorn Burst,3681,0.009,45.9,5.63s,24072.0,0.0,Direct,45.9,18376.0,36769.0,24072.0,0.31,
Vicious Brand,19490,0.048,26.5,11.04s,222174.0,0.0,Periodic,131.3 (131.3),34228.0,68462.0,44873.0,31.1% (31.1%),43.8% (43.8%)
    Radiating Brand,0,0,57.0,2.12s,,,,,,,,,
Windfury Weapon,0 (4118),0.0% (1.0%),1.0,0.00s,1234889.0,0.0,,,,,,,
    Windfury Attack,4118,0.01,150.0,4.12s,8230.0,0.0,Direct,150,6283.0,12570.0,8230.0,0.31,
pet - greater_earth_elemental,2150 / 455,,,,,,,,,,,,
melee,2150,0.001,52.0,2.01s,2609.0,2180.0,Direct,52,1990.0,3982.0,2609.0,0.311,
pet - lightning_wolf,14026 / 10797,,,,,,,,,,,,
melee,14026,0.027,376.5,0.86s,8594.0,9359.0,Direct,376.5,6563.0,13131.0,8594.0,0.309,
pet - fiery_wolf,10783 / 4813,,,,,,,,,,,,
melee,10783,0.012,167.7,1.96s,8604.0,9227.0,Direct,167.7,6567.0,13140.0,8604.0,0.31,
pet - frost_wolf,10786 / 4855,,,,,,,,,,,,
melee,10786,0.012,169.2,1.94s,8598.0,9225.0,Direct,169.2,6568.0,13138.0,8598.0,0.309,
