DF4_Warlock_Affliction,Damage-per-second,damage-per-second%,Execute,Interval,Damage-per-Execution,Damage-per-Execution-time,Type,Count,Hit,Crit,Average,Crit%,uptime%
Agony,36152,0.091,6.4,40.54s,1696271.0,1508994.0,Periodic,244,33260.0,66434.0,44446.0,0.337,0.995
Broodkeeper's Blaze,4894,0.012,10.8,25.93s,136095.0,0.0,Periodic,30.2,36352.0,72697.0,48548.0,0.336,0.202
Corruption (_direct),920 (16610),0.2% (4.2%),15.9,18.94s,313126.0,285990.0,Direct,15.9 (257.9),12987.0,25943.0,17349.0,33.7% (33.7%),
    Corruption,15690,0.04,0.0,0.00s,0.0,0.0,Periodic,242,14554.0,29080.0,19446.0,0.337,0.987
Drain Soul,37833,0.095,56.9,5.21s,199326.0,96634.0,Periodic,184.3,46067.0,92189.0,61598.0,0.337,0.353
Nymue's Unraveling Spindle (essence_splice),14348,0.036,2.9,125.45s,1479455.0,498427.0,Periodic,17.2,186595.0,373118.0,249201.0,0.336,0.029
Fel Barrage,9722,0.025,0.0,0.00s,0.0,0.0,Direct,81.3,26862.0,53716.0,35892.0,0.336,
Grimoire of Sacrifice (_damage_proc),14059,0.035,154.8,1.93s,27225.0,0.0,Direct,154.8,20368.0,40728.0,27226.0,0.337,
Haunt,1903,0.005,13.0,22.23s,43960.0,39738.0,Direct,14,30628.0,61174.0,40906.0,0.336,
Malefic Rapture,0 (91064),0.0% (22.9%),73.7,4.03s,370329.0,342993.0,,,,,,,
    Malefic Rapture (_hit),91064,0.229,0.0,0.00s,0.0,0.0,Direct,73.7,277399.0,553758.0,370325.0,0.336,
Pandemic Invocation,4299,0.011,44.4,6.04s,29044.0,0.0,Direct,44.4,21710.0,43409.0,29044.0,0.338,
Roiling Shadowflame,5318,0.013,38.3,7.70s,41617.0,0.0,Direct,38.3,31125.0,62260.0,41617.0,0.337,
Siphon Life,13818,0.035,14.8,20.37s,280187.0,256497.0,Periodic,160.7,19303.0,38558.0,25784.0,0.337,0.981
Solar Maelstrom,21034,0.053,2.7,125.56s,2376648.0,0.0,Direct,2.7,1788946.0,3578268.0,2387634.0,0.335,
Soul Rot,46366,0.117,9.8,31.93s,1424505.0,1325532.0,Periodic,149.6,69592.0,138997.0,92937.0,0.336,0.642
Tindral's Fowl Fantasia,0 (8619),0.0% (2.2%),7.6,35.20s,340381.0,0.0,,,,,,,
    Denizen of the Flame,4213,0.011,15.2,16.59s,83339.0,0.0,Direct,15.2,62277.0,124532.0,83339.0,0.338,
    Denizen of the Flame (Final),4405,0.011,7.6,35.16s,175020.0,0.0,Direct,7.6,130942.0,261751.0,175026.0,0.337,
Unstable Affliction,41621,0.105,10.9,28.23s,1142654.0,1057441.0,Periodic,242.2,38559.0,77049.0,51546.0,0.337,0.989
Vile Taint,0 (16448),0.0% (4.1%),9.8,31.90s,504454.0,469229.0,,,,,,,
    Vile Taint (_dot),16448,0.041,9.8,31.90s,504454.0,0.0,Periodic,137.2,26898.0,53719.0,35947.0,0.337,0.58
Web of Dreams,4595,0.011,3.0,120.43s,454782.0,0.0,Direct,3,341888.0,682895.0,457373.0,0.339,
pet - darkglare,46245 / 8492,,,,,,,,,,,,
Eye Beam,46245,0.021,40.0,6.28s,63602.0,47079.0,Direct,40,47626.0,95254.0,63603.0,0.335,
